image,bee,pollen,infection,round,feces_overlap,chewed,poop_count,total_area,average_size,percent_area,threshold
IMG_9870,80,W,I,3,N,N,7,577.328,48.648,6.605,57
IMG_9863,81,W,I,3,N,N,6,1016.001,169.333,5.807,56
IMG_9857,82,W,I,3,N,N,5,277.621,55.524,1.793,48
NA,84,S,I,3,N,Y,11,1128.346,49.326,6.987,51
IMG_9862,86,W,H,3,N,Y,6,1147.61,191.268,7.853,51
IMG_9864,87,W,H,3,N,N,6,63.001,10.5,0.431,57
IMG_9872,89,S,H,3,N,N,6,262.295,43.716,1.828,33
IMG_9855,90,S,H,3,N,N,4,331.457,82.864,2.077,53
IMG_9860,91,S,H,3,N,N,7,425.616,60.802,2.749,50
IMG_9851,93,W,I,3,N,N,8,461.803,57.725,2.98,56
IMG_9854,95,S,I,3,N,N,9,1071.868,119.096,6.922,129
IMG_9875,97,S,I,3,N,N,1,119.468,119.468,0.867,66
IMG_9867,98,W,I,3,N,N,10,1228.95,122.895,8.646,37
IMG_9859,99,W,I,3,N,N,3,344.083,114.694,2.22,45
IMG_9850,100,W,I,3,N,N,1,114.777,114.777,0.785,59
IMG_9869,101,S,I,3,N,N,7,987.728,141.104,6.883,42
IMG_9871,102,S,I,3,N,N,9,586.311,65.146,4.01,53
IMG_9861,105,W,H,3,N,N,2,274.752,137.376,1.879,50
IMG_9856,108,S,H,3,N,N,9,592.714,65.957,3.825,31
IMG_9866,109,S,H,3,N,N,2,172.025,86.013,1.176,38
IMG_9876,112,W,H,3,N,Y,4,336.115,84.029,2.233,66
IMG_9858,113,W,H,3,N,Y,7,566.806,80.972,3.879,50
IMG_9874,114,S,H,3,N,Y,4,588.076,147.019,4.255,47
IMG_9868,115,S,H,3,N,Y,4,109.475,27.369,0.77,55
IMG_1521,116,S,I,4,Y,Y,13,820.887,63.145,8.472,32
IMG_1513,141,S,I,4,Y,Y,4,910.694,227.674,8.967,26
IMG_1493,118,S,I,4,Y,N,18,444.709,24.709,24.706,28
IMG_1534,119,W,I,4,N,Y,3,143.35,47.783,1.313,40
IMG_1492,120,W,I,4,N,N,0,0,0,0,57
IMG_1505,122,S,H,4,N,Y,4,619.728,154.932,6.11,79
IMG_1507,123,S,H,4,N,N,6,490.496,81.749,4.165,50
IMG_1509,124,S,H,4,N,N,8,508.976,63.622,4.545,45
IMG_1538,125,W,H,4,N,Y,4,655.919,163.98,6.769,29
IMG_1501,126,W,H,4,N,N,5,212.776,42.555,2.128,33
IMG_1503,127,W,H,4,N,N,3,52.651,17.55,0.486,49
IMG_1519,129,S,I,4,N,N,2,418.652,209.326,3.833,45
IMG_1517,131,S,I,4,N,N,4,91.917,22.979,0.905,39
IMG_1497,132,W,I,4,N,N,8,583.931,72.991,5.569,36
IMG_1530,133,W,I,4,Y,N,2,529.337,264.668,4.97,41
IMG_1511,136,S,H,4,N,N,4,106.932,26.733,1.028,48
IMG_1499,139,W,H,4,Y,N,7,771.293,110.185,7.241,48
IMG_1523,142,S,I,4,N,N,9,457.936,50.882,4.509,31
IMG_1532,144,W,I,4,Y,N,4,718.063,179.516,7.183,44
IMG_1495,145,W,I,4,N,N,3,81.878,27.293,0.75,47
IMG_1528,147,W,H,4,N,Y,3,1432.275,477.425,13.447,76
IMG_1536,148,W,H,4,N,N,3,221.382,73.794,2.08,41
IMG_1526,150,S,H,4,N,N,1,6.252,6.252,0.056,47
IMG_1515,151,S,H,4,N,N,2,57.286,28.643,0.524,40
IMG_1571,152,W,I,5,N,N,5,549.3,109.86,5.157,32
IMG_1544,156,S,I,5,N,Y,7,345.119,49.303,3.48,44
IMG_1561,160,S,H,5,Y,N,5,456.094,91.219,4.228,69
IMG_1540,162,S,H,5,N,N,3,124.41,41.47,1.225,41
IMG_1587,164,W,I,5,N,N,2,406.539,203.27,3.631,44
IMG_1575,165,W,I,5,N,N,5,173.632,34.726,1.551,46
IMG_1589,166,W,I,5,N,N,6,58.359,9.727,0.584,47
IMG_1563,167,S,I,5,N,Y,8,907.549,113.444,9.514,56
IMG_1565,168,S,I,5,N,Y,5,114.868,22.974,1.113,50
IMG_1548,169,S,I,5,N,Y,3,300.798,100.266,2.823,35
IMG_1585,170,W,H,5,N,N,2,203.39,101.695,2.034,51
IMG_1581,171,W,H,5,N,N,1,188.106,188.106,1.794,43
IMG_1569,172,W,H,5,Y,N,4,401.704,100.426,3.864,48
IMG_1554,173,S,H,5,Y,Y,14,1154.116,82.437,10.568,43
IMG_1577,176,W,I,5,N,N,3,557.521,185.84,5.36,38
IMG_1579,177,W,I,5,N,N,12,275.79,22.983,2.63,48
IMG_1557,179,S,I,5,N,Y,7,1096.576,156.654,10.039,56
IMG_1559,180,S,I,5,N,N,3,376.045,125.348,3.529,49
