BeeID,HR0,HR1,HR3,HR5,HR7,HR9,HR11,HR13
80,0,0,1,7,7,7,8,8
81,0,2,3,4,5,5,5,5
82,0,0,4,5,5,5,5,5
84,0,0,0,0,0,4,7,8
86,0,0,2,2,3,3,3,3
87,0,0,0,0,0,0,0,0
89,0,1,2,2,2,2,2,2
90,0,0,2,3,3,3,3,3
91,0,0,1,2,2,2,2,2
93,0,0,1,1,1,3,3,3
95,0,0,5,5,5,6,7,7
97,0,0,0,0,0,0,0,0
98,0,1,5,7,7,7,8,11
99,0,0,3,3,3,3,3,3
100,0,0,3,3,3,3,3,3
101,0,0,1,3,4,4,4,4
102,0,0,2,4,6,6,6,6
105,0,2,2,2,2,2,2,2
108,0,5,8,8,8,8,8,8
109,0,2,2,2,2,2,2,2
112,0,0,5,8,8,8,8,8
113,0,1,1,4,4,4,4,4
114,0,3,4,4,6,6,6,6
115,0,0,0,0,2,2,2,2
116,0,0,1,3,4,6,6,6
118,0,0,0,2,2,2,2,2
119,0,0,2,3,3,4,4,4
120,0,0,0,0,0,0,0,0
122,0,1,2,2,2,2,2,2
123,0,0,1,1,1,1,2,3
124,0,0,2,5,5,5,5,5
125,0,0,1,1,1,2,2,2
126,0,0,0,0,3,4,4,4
127,0,0,1,1,1,1,1,1
129,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0
132,0,0,0,1,1,1,1,1
133,0,0,0,1,1,1,1,1
136,0,0,0,0,0,1,1,1
139,0,0,2,3,3,5,5,5
141,0,0,2,2,2,4,4,4
142,0,0,0,1,1,3,3,3
144,0,0,2,3,3,3,3,3
145,0,0,1,2,2,2,2,2
147,0,0,0,1,2,3,3,3
148,0,0,0,0,0,0,0,0
150,0,1,0,1,1,1,1,1
151,0,1,2,2,2,2,2,2
152,0,0,2,3,5,6,6,6
156,0,0,0,0,0,0,0,1
160,0,1,1,1,1,3,3,3
162,0,0,2,2,5,5,5,5
164,0,0,1,2,3,3,3,3
165,0,0,0,0,0,0,0,0
166,0,0,1,1,1,1,1,1
167,0,0,0,0,3,4,4,4
168,0,1,1,1,4,7,8,8
169,0,1,3,3,7,7,7,7
170,0,0,1,1,1,1,1,1
171,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,2
173,0,0,1,3,5,6,6,6
176,0,0,0,0,0,0,0,0
177,0,0,1,2,4,4,4,4
179,0,0,2,5,6,7,7,7
180,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0
183,0,0,0,0,1,1,1,1
184,0,0,0,0,0,0,0,0
185,0,0,2,3,4,6,6,6
186,0,0,3,4,5,6,7,7
187,0,0,0,0,0,0,0,1
224,0,0,0,0,1,1,1,1
227,0,0,0,0,0,0,2,4
229,0,0,0,0,0,1,1,1
230,0,1,2,3,3,3,5,5
231,0,0,0,0,2,2,2,2
232,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,1,1
237,0,0,0,0,0,0,0,0
238,0,1,3,3,4,6,6,6
241,0,1,2,4,7,7,7,8
243,0,0,0,0,0,0,0,1
244,0,0,0,2,2,2,2,2
247,0,1,1,3,4,5,5,5
248,0,0,0,1,2,2,2,2
250,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0
253,0,1,2,3,3,4,4,5
254,0,0,0,1,1,1,1,1
257,0,0,1,2,3,3,3,3
259,0,0,1,1,2,2,3,3
260,0,0,0,0,0,0,0,2
261,0,0,0,0,0,0,0,1
262,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0
267,0,0,0,0,1,1,1,1
268,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0
271,0,1,2,4,4,5,5,5
274,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0
280,0,0,0,1,1,1,1,1
282,0,0,0,0,0,0,1,1
290,0,0,0,0,0,0,0,0
291,0,1,1,1,1,1,1,1
292,0,0,0,0,0,0,0,0
293,0,1,1,2,2,2,2,2
294,0,1,1,1,1,1,2,3
297,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0
299,0,0,0,1,1,1,1,1
300,0,0,0,0,0,0,0,0
301,0,0,1,0,1,1,1,1
303,0,1,2,2,2,2,3,4
304,0,0,0,0,0,0,0,0
