BeeID,Poop1,Poop2,Poop3,Poop4,Poop5
80,0:57:12,1:06:03,1:08:16,1:17:54,1:18:57
81,0:10:44,0:26:46,0:56:41,2:43:16,4:12:46
82,0:00:07,1:52:25,2:00:05,2:05:38,2:11:01
84,7:22:57,7:59:02,8:33:44,8:43:05,9:08:19
86,0:31:05,1:09:00,1:55:00,2:11:19,4:34:13
87,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
89,0:17:08,1:06:52,24:00:00,24:00:00,24:00:00
90,0:36:48,4:27:01,4:36:44,13:48:28,24:00:00
91,2:57:40,24:00:00,24:00:00,24:00:00,24:00:00
93,1:28:59,1:30:30,1:31:56,7:29:45,24:00:00
95,0:42:45,1:00:44,1:16:54,1:42:00,2:00:10
97,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
98,0:02:30,1:11:53,1:26:22,1:27:51,2:24:06
99,0:20:08,0:45:37,0:50:33,24:00:00,24:00:00
100,0:08:29,0:17:20,0:34:30,24:00:00,24:00:00
101,0:01:36,2:05:12,4:07:42,4:36:16,24:00:00
102,0:30:26,1:04:32,1:53:45,2:16:45,2:27:27
105,0:18:43,0:24:55,0:49:06,0:54:39,15:00:36
108,0:31:30,0:31:52,0:32:42,0:33:42,0:35:03
109,0:02:43,0:02:54,24:00:00,24:00:00,24:00:00
112,0:29:38,0:41:16,1:09:43,1:12:55,1:18:19
113,0:25:39,0:52:44,0:56:10,1:05:19,1:21:50
114,0:05:22,0:09:52,0:19:50,1:33:48,2:40:56
115,5:14:20,24:00:00,24:00:00,24:00:00,24:00:00
116,1:18:38,1:20:09,2:02:55,2:03:56,3:07:45
118,3:24:42,3:25:34,3:30:23,12:31:17,24:00:00
119,1:00:43,1:47:54,2:00:10,2:54:22,4:06:16
120,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
122,0:20:54,1:47:20,2:30:24,3:27:00,6:55:50
123,10:03:01,24:00:00,24:00:00,24:00:00,24:00:00
124,1:09:35,1:14:54,3:03:09,3:14:24,3:29:08
125,8:08:09,13:32:22,24:00:00,24:00:00,24:00:00
126,0:09:30,6:30:33,6:37:27,6:51:22,6:58:40
127,2:43:28,24:00:00,24:00:00,24:00:00,24:00:00
129,1:47:16,3:02:38,24:00:00,24:00:00,24:00:00
131,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
132,0:27:43,1:34:29,4:10:16,12:48:37,24:00:00
133,4:12:07,24:00:00,24:00:00,24:00:00,24:00:00
136,1:21:42,24:00:00,24:00:00,24:00:00,24:00:00
139,4:36:02,4:39:07,4:43:56,7:30:15,24:00:00
141,2:06:46,4:18:16,8:02:18,24:00:00,24:00:00
142,1:39:00,3:09:40,24:00:00,24:00:00,24:00:00
144,1:21:47,2:09:07,2:32:15,4:52:33,24:00:00
145,1:39:41,4:29:06,24:00:00,24:00:00,24:00:00
147,4:41:38,5:33:21,5:33:40,6:46:58,10:59:16
148,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
150,0:20:19,0:25:26,24:00:00,24:00:00,24:00:00
151,0:20:48,1:28:55,24:00:00,24:00:00,24:00:00
152,1:39:07,1:56:04,2:10:22,2:43:35,4:56:01
156,10:08:07,24:00:00,24:00:00,24:00:00,24:00:00
160,0:35:42,0:48:45,1:54:14,8:46:40,8:59:18
162,1:47:00,2:07:09,2:18:48,2:19:35,3:12:32
164,1:34:45,1:56:58,4:48:31,24:00:00,24:00:00
165,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
166,1:04:12,1:25:11,1:57:53,24:00:00,24:00:00
167,0:47:16,1:29:33,5:16:50,5:27:29,8:06:39
168,0:36:10,0:55:06,1:47:25,3:28:44,5:45:57
169,0:46:12,1:13:42,1:44:42,3:16:33,5:15:34
170,1:35:09,24:00:00,24:00:00,24:00:00,24:00:00
171,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
172,12:20:57,12:22:51,24:00:00,24:00:00,24:00:00
173,1:08:04,1:24:41,1:28:56,2:56:35,4:03:02
176,13:19:02,24:00:00,24:00:00,24:00:00,24:00:00
177,1:38:53,2:57:32,4:10:55,4:18:00,5:17:42
179,1:05:45,1:36:05,2:25:34,3:32:27,3:52:10
180,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
182,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
183,1:58:22,2:41:47,24:00:00,24:00:00,24:00:00
184,1:09:36,1:43:01,24:00:00,24:00:00,24:00:00
185,2:31:59,2:49:53,3:56:01,8:14:35,8:54:09
186,1:43:52,2:01:48,2:29:45,3:35:20,3:50:56
187,11:06:52,24:00:00,24:00:00,24:00:00,24:00:00
224,1:05:40,1:35:12,1:44:03,8:10:10,24:00:00
227,4:48:15,5:02:32,6:15:39,7:01:42,8:16:06
229,2:17:12,2:21:29,2:41:01,7:27:03,8:24:33
230,0:54:02,2:36:09,4:31:23,9:58:21,10:57:33
231,6:31:38,24:00:00,24:00:00,24:00:00,24:00:00
232,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
233,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
234,10:50:13,24:00:00,24:00:00,24:00:00,24:00:00
237,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
238,0:57:02,1:30:20,1:31:50,1:33:32,5:46:17
241,0:47:08,1:19:02,1:20:53,4:02:52,4:17:23
243,11:04:45,24:00:00,24:00:00,24:00:00,24:00:00
244,0:47:55,3:45:47,24:00:00,24:00:00,24:00:00
247,0:50:19,2:20:59,3:12:14,4:18:42,5:05:59
248,4:51:03,6:26:06,24:00:00,24:00:00,24:00:00
250,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
252,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
253,0:48:53,2:44:10,3:07:03,3:10:23,5:20:10
254,4:48:37,24:00:00,24:00:00,24:00:00,24:00:00
257,1:17:31,2:48:00,5:29:05,7:34:34,11:45:06
259,1:06:08,3:37:45,5:30:23,10:54:59,24:00:00
260,0:43:50,11:13:25,11:51:29,24:00:00,24:00:00
261,11:08:00,24:00:00,24:00:00,24:00:00,24:00:00
262,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
264,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
266,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
267,2:09:33,9:05:33,24:00:00,24:00:00,24:00:00
268,6:29:08,24:00:00,24:00:00,24:00:00,24:00:00
269,5:40:52,10:59:24,11:21:18,15:14:35,24:00:00
270,5:24:35,24:00:00,24:00:00,24:00:00,24:00:00
271,0:51:18,1:23:48,2:50:24,3:43:01,4:23:50
274,7:04:24,24:00:00,24:00:00,24:00:00,24:00:00
275,2:49:38,12:47:11,24:00:00,24:00:00,24:00:00
276,8:31:19,15:14:24,24:00:00,24:00:00,24:00:00
280,1:20:09,3:15:43,5:16:27,9:25:30,24:00:00
282,8:32:59,24:00:00,24:00:00,24:00:00,24:00:00
290,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
291,0:47:44,11:59:57,13:17:28,24:00:00,24:00:00
292,2:11:45,2:36:38,24:00:00,24:00:00,24:00:00
293,0:47:52,3:35:09,24:00:00,24:00:00,24:00:00
294,0:55:54,1:52:34,6:21:46,8:29:18,24:00:00
297,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
298,1:55:23,5:49:10,24:00:00,24:00:00,24:00:00
299,1:19:35,2:09:33,3:34:05,24:00:00,24:00:00
300,10:06:37,12:20:23,24:00:00,24:00:00,24:00:00
301,2:37:22,5:56:30,24:00:00,24:00:00,24:00:00
303,0:59:05,1:30:46,5:14:45,8:47:15,24:00:00
304,6:41:54,15:21:15,24:00:00,24:00:00,24:00:00
